,Sample.Name,Phylum,Class,Order,Family,Genus,Normalized.Counts
8903,FS907_RNA_TTCAGC_L005,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,3.079763663
8915,FS907_RNA_TTCAGC_L005,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,54.50516987
8942,FS907_RNA_TTCAGC_L005,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,2.629246677
9021,FS908_80_12C_INC_11,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.007829909
9024,FS908_80_12C_INC_11,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,1.177299637
9025,FS908_80_12C_INC_11,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,0.613837182
9026,FS908_80_12C_INC_11,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,0.694076431
9028,FS908_80_12C_INC_11,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.095788202
9029,FS908_80_12C_INC_11,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.045912372
9030,FS908_80_12C_INC_11,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,27.94149603
9031,FS908_80_12C_INC_11,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,60.65653444
9032,FS908_80_12C_INC_11,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,6.330266965
9035,FS908_80_12C_INC_11,Ascomycota,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,Ascomycota_unclassified,0.004975111
9038,FS908_80_12C_INC_11,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.012070533
9039,FS908_80_12C_INC_11,Ascomycota,Dothideomycetes,Dothideomycetes_unclassified,Dothideomycetes_unclassified,Dothideomycetes_unclassified,0.007095422
9042,FS908_80_12C_INC_11,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.507433564
9075,FS908_80_12C_INC_11,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcales_unclassified,Desulfurococcales_unclassified,0.00561259
9079,FS908_80_12C_INC_11,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,0.005404716
9085,FS908_80_12C_INC_11,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobiaceae_unclassified,0.007871484
9086,FS908_80_12C_INC_11,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,0.028977594
9097,FS908_80_12C_INC_11,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.007594319
9100,FS908_80_12C_INC_11,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.022311777
9104,FS908_80_12C_INC_11,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.006388652
9108,FS908_80_12C_INC_11,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1.684289737
9110,FS908_80_12C_INC_11,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.011045023
9111,FS908_80_12C_INC_11,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.065743523
9115,FS908_80_12C_INC_11,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.04718733
9235,FS908_80_12C_INC_11,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.00608377
9241,FS908_80_12C_INC_11,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge,0.00687369
9274,FS908_80_12C_INC_9,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.006820382
9275,FS908_80_12C_INC_9,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,0.003416826
9276,FS908_80_12C_INC_9,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.008074324
9278,FS908_80_12C_INC_9,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,0.850305225
9279,FS908_80_12C_INC_9,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,0.439012318
9280,FS908_80_12C_INC_9,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,0.585066681
9282,FS908_80_12C_INC_9,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.134656098
9283,FS908_80_12C_INC_9,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.072781701
9284,FS908_80_12C_INC_9,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,26.74308856
9285,FS908_80_12C_INC_9,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,62.19811351
9286,FS908_80_12C_INC_9,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,6.102689208
9293,FS908_80_12C_INC_9,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.637300987
9314,FS908_80_12C_INC_9,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,0.002368557
9325,FS908_80_12C_INC_9,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.003556152
9328,FS908_80_12C_INC_9,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.00873115
9331,FS908_80_12C_INC_9,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.002587499
9335,FS908_80_12C_INC_9,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,2.186416692
9337,FS908_80_12C_INC_9,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.008067689
9340,FS908_80_12C_INC_9,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.006946439
9454,FS908_80_12L10,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.216892241
9455,FS908_80_12L10,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.062864704
9456,FS908_80_12L10,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,17.64074915
9457,FS908_80_12L10,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,78.17417188
9458,FS908_80_12L10,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,0.72872188
9460,FS908_80_12L10,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,1.207847454
9470,FS908_80_12L10,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1.968752697
9539,FS908_80_13H7,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1.118844762
9540,FS908_80_13H7,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.03651087
9541,FS908_80_13H7,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,34.62786224
9542,FS908_80_13H7,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,17.64889237
9543,FS908_80_13H7,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,11.48513437
9544,FS908_80_13H7,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.047446439
9545,FS908_80_13H7,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,4.384931161
9561,FS908_80_13H7,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,2.143537476
9565,FS908_80_13H7,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,0.108249975
9566,FS908_80_13H7,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,21.58684733
9567,FS908_80_13H7,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,1.95031293
9569,FS908_80_13H7,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,4.567153795
9570,FS908_80_13H7,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,0.280222586
9602,FS908_80_13H7,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,0.009741392
9628,FS908_80_13H7,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,0.004312307
9654,FS908_80_13INC,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.004855084
9655,FS908_80_13INC,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,0.005168315
9656,FS908_80_13INC,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquificaceae_unclassified,0.011362463
9660,FS908_80_13INC,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermaceae_unclassified,1.137843743
9661,FS908_80_13INC,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Hydrogenothermus,0.5832522
9662,FS908_80_13INC,Aquificae,Aquificae,Hydrogenothermales,Hydrogenothermaceae,Persephonella,0.744049449
9664,FS908_80_13INC,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.101886286
9665,FS908_80_13INC,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.085120585
9666,FS908_80_13INC,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,24.83287744
9667,FS908_80_13INC,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,63.01078322
9668,FS908_80_13INC,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,6.128705613
9677,FS908_80_13INC,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.002881727
9684,FS908_80_13INC,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,0.776484542
9743,FS908_80_13INC,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,0.009741491
9764,FS908_80_13INC,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.004902069
9771,FS908_80_13INC,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,2.513954647
9773,FS908_80_13INC,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.00391539
9774,FS908_80_13INC,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.021887032
9778,FS908_80_13INC,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.017313856
9786,FS908_80_13INC,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,0.003014851
9996,FS908_80_TP1_12H,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,3.204055967
9997,FS908_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.082741427
9998,FS908_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,52.32641419
9999,FS908_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,22.92152302
10000,FS908_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,9.386144096
10001,FS908_80_TP1_12H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.008888696
10002,FS908_80_TP1_12H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,9.340445991
10024,FS908_80_TP1_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.013354309
10027,FS908_80_TP1_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.011291621
10029,FS908_80_TP1_12H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,2.524857515
10030,FS908_80_TP1_12H,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.017139447
10031,FS908_80_TP1_12H,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.064921505
10035,FS908_80_TP1_12H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.066771545
10037,FS908_80_TP1_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.008101898
10069,FS908_80_TP1_12H,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,0.00842087
10070,FS908_80_TP1_12H,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacteriaceae_unclassified,0.014927906
10101,FS908_80_TP1_12L,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,3.221402081
10102,FS908_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.089158322
10103,FS908_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,50.72987505
10104,FS908_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,23.28306425
10105,FS908_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,9.838420393
10107,FS908_80_TP1_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,10.19187756
10127,FS908_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.007637821
10130,FS908_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.015200019
10133,FS908_80_TP1_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,2.547118642
10134,FS908_80_TP1_12L,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.006900506
10135,FS908_80_TP1_12L,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.039342338
10140,FS908_80_TP1_12L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.030003023
10183,FS908_80_TP1_13H,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,2.682076037
10184,FS908_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.037911619
10185,FS908_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,58.56609149
10186,FS908_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,24.36905581
10187,FS908_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,5.236710527
10189,FS908_80_TP1_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,6.275776716
10201,FS908_80_TP1_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.01097007
10205,FS908_80_TP1_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.015122183
10207,FS908_80_TP1_13H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,2.639847165
10212,FS908_80_TP1_13H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.011607042
10213,FS908_80_TP1_13H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.011842958
10214,FS908_80_TP1_13H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.142988379
10249,FS908_80_TP1_13L,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,2.966901879
10250,FS908_80_TP1_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.030495261
10251,FS908_80_TP1_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,59.06932051
10252,FS908_80_TP1_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,23.60926362
10253,FS908_80_TP1_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,5.637162601
10258,FS908_80_TP1_13L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,7.661330395
10286,FS908_80_TP1_13L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.008227741
10290,FS908_80_TP1_13L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.009543223
10293,FS908_80_TP1_13L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,0.701163783
10295,FS908_80_TP1_13L,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.006780711
10296,FS908_80_TP1_13L,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.035864819
10301,FS908_80_TP1_13L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.038232686
10302,FS908_80_TP1_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.016024961
10303,FS908_80_TP1_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.199797775
10304,FS908_80_TP1_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,0.005525024
10330,FS908_80_TP1_13L,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacteriaceae_unclassified,0.004365008
10361,FS908_RNA_CCTCGG_L004_RUN2,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,0.040698037
10370,FS908_RNA_CCTCGG_L004_RUN2,AncK6,AncK6_cl,AncK6_or,AncK6_fa,AncK6_ge,0.0178389
10373,FS908_RNA_CCTCGG_L004_RUN2,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,0.035190399
10380,FS908_RNA_CCTCGG_L004_RUN2,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1.034607466
10382,FS908_RNA_CCTCGG_L004_RUN2,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,2.752015893
10383,FS908_RNA_CCTCGG_L004_RUN2,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,6.840389609
10385,FS908_RNA_CCTCGG_L004_RUN2,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.731784826
10387,FS908_RNA_CCTCGG_L004_RUN2,Arthropoda,Maxillopoda,Calanoida,Calanoida_fa,Calanoida_ge,0.338013039
10392,FS908_RNA_CCTCGG_L004_RUN2,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,13.38092973
10393,FS908_RNA_CCTCGG_L004_RUN2,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,0.048057802
10394,FS908_RNA_CCTCGG_L004_RUN2,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,0.119803324
10398,FS908_RNA_CCTCGG_L004_RUN2,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,0.033338272
10399,FS908_RNA_CCTCGG_L004_RUN2,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,0.263050666
10419,FS908_RNA_CCTCGG_L004_RUN2,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriales_unclassified,Ignavibacteriales_unclassified,0.05034859
10420,FS908_RNA_CCTCGG_L004_RUN2,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,IheB3-7,0.020129688
10423,FS908_RNA_CCTCGG_L004_RUN2,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix,0.01788764
10428,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Anaerolineae,Anaerolineae_unclassified,Anaerolineae_unclassified,Anaerolineae_unclassified,0.105619936
10429,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,0.238339403
10430,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,GWD2-49-16,0.034751737
10432,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,0.156748368
10433,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,0.024808744
10439,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,0.04752166
10441,FS908_RNA_CCTCGG_L004_RUN2,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,0.232441843
10449,FS908_RNA_CCTCGG_L004_RUN2,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified,0.020519609
10461,FS908_RNA_CCTCGG_L004_RUN2,Cnidaria,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Hydrozoa_unclassified,0.07120938
10462,FS908_RNA_CCTCGG_L004_RUN2,Cnidaria,Hydrozoa,Narcomedusae,Narcomedusae_fa,Narcomedusae_ge,0.020275908
10466,FS908_RNA_CCTCGG_L004_RUN2,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcales_unclassified,Desulfurococcales_unclassified,0.032899611
10479,FS908_RNA_CCTCGG_L004_RUN2,Dependentiae,Babeliae,Babeliales,Babeliales_unclassified,Babeliales_unclassified,0.031096225
10488,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,1.548231317
10490,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,1.658091647
10491,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,CH8-1-BAC,CH8-1-BAC_ge,0.022469216
10492,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacteraceae_ge,0.022469216
10494,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,uncultured,0.026075988
10495,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.128722774
10496,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptor,0.052834338
10497,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.025393626
10501,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,2.876985674
10502,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,1.090951096
10503,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.243652081
10505,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,1.629042509
10508,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,1.494275955
10509,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.239411687
10511,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,0.089779383
10512,FS908_RNA_CCTCGG_L004_RUN2,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,0.100112297
